Candidate ID,Father Name as per affidavit,Age,Self Profession,Spouse Profession,Criminal Cases Count,Education Category,Education Details,Self Occupation,Self Source of Income,Spouse Source of Income,Movable Assets (Self),Movable Assets (Spouse),Movable Assets (Total),Immovable Assets (Self),Immovable Assets (Spouse),Immovable Assets (Total),Total Assets,Liabilities (Self),Liabilities (Spouse),Total Liabilities,Criminal Case Details
259,Apparao Adireddy,44,Business,Public Service,8,Graduate Professional,"BE From Madras University, Year-2003;             		 Details of PAN and status of Income Tax return",Business,Income From House Property Income from Business,"Income from House Property, Commission from Insurance Company & Interest from Banks","8,69,95,325","5,17,16,362","13,97,48,832","36,92,77,231","4,66,12,321","44,94,52,552","58,82,01,384","13,17,00,544","3,60,71,715","16,82,66,759","1 charges related to Punishment for criminal intimidation (IPC Section-506)1 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420)1 charges related to Criminal breach of trust by public servant, or by banker, merchant or agent (IPC Section-409)1 charges related to Falsification of accounts (IPC Section-477A) 4 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 4 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 4 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 3 charges related to Punishment for wrongful restraint (IPC Section-341) 3 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 2 charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270) 1 charges related to Negligent act likely to spr"
256,Late Veeraiah,80,Business and Occupation MLA of 51 Rajahmundry Rural Assembly,Business,2,Graduate,"Bachelor of Science (B.Sc), Government Arts and Science College Rajahmundry, Andhra University in the year 1967;             		 Details of PAN and status of Income Tax return",Business and Occupation MLA of 51 Rajahmundry Rural Assembly,"Business 1)Sri Vazra Fly Ash Brick Industries, Partnership Firm, Holding 49% Share.  2)Vazra Construction and developers, Partnership Firm, Holding 50% Share. 3)Income from Transport Business. 4)Salary Drawn by Candidate as Sitting MLA from 51 Rajahmundry Rural Constituency","Business 1. Sri Vazra Fly Ash Brick Industries, Partnership Fi","4,40,53,268.32","1,98,96,017.34","6,39,49,285.66","11,17,06,730","9,64,03,170","20,81,09,900","27,20,59,207","2,15,56,814","52,16,509","2,67,73,323",2 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 2 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 2 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 1 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 1 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 1 charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270)
135,Appa Rao,56,"Director in top stone metals & alloys india private limited, Diagonal infra india private limited, SILA Metals and alloys india private limited, CMD properties private limited & insigh",,1,Post Graduate,"Master of Business Administration From Andhra University Waltair In 1995-1977;             		 Details of PAN and status of Income Tax return","Director in top stone metals & alloys india private limited, Diagonal infra india private limited, SILA Metals and alloys india private limited, CMD properties private limited & insights of data private limited and social worker",Receiving Pension as ex MLA,"Salary, Dealer Commission","49,25,599.40","7,04,24,839.19","7,53,50,438.59","1,64,56,000","9,83,57,700","11,48,13,700","19,01,64,099","1,31,08,042","9,10,14,252","10,41,22,294",1 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34)
21,Akepati Lakshmi Venkata Narayana Reddy,66,Politician and Agriculturist,House Wife,,12th Pass,"Intermediate from Government Junior College Rajampet in 1979;             		 Details of PAN and status of Income Tax return",Politician and Agriculturist,Agriculture,Agriculture,"24,32,460","37,50,000","61,82,460","2,60,00,000","75,00,000","3,35,00,000","3,96,82,460","5,19,476",,"5,19,476",
260,Late Gangarao,51,Business By Way Of Man - Power agency as Proprietary Concern,House Wife,3,8th Pass,"Passed 9th  Class , ZPH High School , Gadarada , Academic Year , 1988-89;             		 Details of PAN and status of Income Tax return",Business By Way Of Man - Power agency as Proprietary Concern,Business By Way Of Man -Power Agency As Proprietary Concern,Agriculture Income And Rental,"12,08,50,376.29","3,91,14,187.27","19,80,91,435.47","6,34,44,455","7,30,31,165","21,70,94,846","41,51,86,281","9,68,51,079.55","5,41,72,088.12",,3 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 3 charges related to Punishment for wrongful restraint (IPC Section-341) 3 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 2 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 1 charges related to Punishment for public nuisance in cases not otherwise provided for (IPC Section-290)
267,Satyam,48,Cultivation & Business,Business,12,Graduate Professional,"Bachelor of Legisltaive Law (LLB) CR Reddy College Eluru 2004;             		 Details of PAN and status of Income Tax return",Cultivation & Business,Cultivation & Business,Business,"23,73,656","8,61,837","43,35,493","1,40,00,000",,"1,40,00,000","1,83,35,494","1,92,545","23,74,248","25,66,793",
276,Matham Vijaya Bhaskar,32,Ex-Aganwadi Worker,Agriculturist & Petty Contractor,,Graduate Professional,"Bachelor Of Education (B.ED) From Andhra University In august, 2015;             		 Details of PAN and status of Income Tax return",Ex-Aganwadi Worker,cooli work,Agriculture,"12,89,968","1,49,000","14,38,968","1,25,000","4,20,000","5,45,000","19,83,968","9,67,500","1,00,000","10,67,500",
248,Late Paritala Ravindra,56,Agriculture,Expired,8,8th Pass,"8th Std, Government High School( G.V.Z.P.H.School), Dharmavaram,1983;             		 Details of PAN and status of Income Tax return",Agriculture,Legislature (Pension) Secretariat & Agriculture,NIL,"1,12,25,055",,"1,12,25,055","32,86,23,820",,"32,86,23,820","33,98,48,875","31,74,615.04",,,6 charges related to Punishment for wrongful restraint (IPC Section-341) 6 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 5 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 1 charges related to Wantonly giving provocation with intent to cause riot-if rioting be committed-if not committed (IPC Section-153) 1 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143)
87,Mandipalli Nagi Reddy,44,Business and Agriculturist,Agriculturist,5,12th Pass,"Intermediate from Rayalaseema Junior College, Tirupathi, Year 1998;             		 Details of PAN and status of Income Tax return",Business and Agriculturist,Business and Agriculturist,Agriculture,"24,42,176","42,761","24,84,937","3,17,85,000","1,70,000","3,19,55,000","3,44,39,937","72,45,939","14,67,000","87,12,939","2 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324)2 charges related to Attempt to murder (IPC Section-307)1 charges related to Illegal payments in connection with an election (IPC Section-171H)1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332)1 charges related to Abetment of offence punishable with death or imprisonment for life (IPC Section-115)1 charges related to Punishment for criminal intimidation (IPC Section-506) 3 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 3 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 2 charges related to Punishment of criminal conspiracy (IPC Section-120B) 2 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 2 charges related to Rioting, armed with deadly weapon (IPC Sec"
242,Late K Bala Venkata Swamy,61,Agriculture,Housewife,19,Post Graduate,"MA., Sri Krishnadevaraya University , Anantapuramu 1994-96;             		 Details of PAN and status of Income Tax return",Agriculture,Agriculture And Receiving Pension As An Ex MP And Ex.MLA Of AP Assembly,Agriculture,"10,33,107","92,09,674","2,18,23,194","5,45,68,620","21,15,000","5,66,83,620","7,85,06,817","1,02,55,250","26,67,397","1,39,87,780",1 charges related to Punishment for criminal intimidation (IPC Section-506) 11 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 11 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 10 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 1 charges related to Danger or obstruction in public way or line of navigation (IPC Section-283)
264,Late Narasimha Rao,66,"Retired, IAS",Business,,Post Graduate,"Post Graduation MSC Botany in Andhra University Vishakapatnam 1981;             		 Details of PAN and status of Income Tax return","Retired, IAS","Pensionary Benefits, Interest from FDs",Business in Selling Garments under the name & style of M/s Madda Creations,"2,49,64,207","31,00,000","2,80,64,207","5,65,00,000",,"5,65,00,000","8,35,64,207","10,65,943",,"10,65,943",
