Candidate ID,Father Name as per affidavit,Age,Self Profession,Spouse Profession,Criminal Cases Count,Education Category,Education Details,Self Occupation,Self Source of Income,Spouse Source of Income,Movable Assets (Self),Movable Assets (Spouse),Movable Assets (Total),Immovable Assets (Self),Immovable Assets (Spouse),Immovable Assets (Total),Total Assets,Liabilities (Self),Liabilities (Spouse),Total Liabilities,Criminal Case Details
467,Kolla Balaji Appala Rama Prasad,56,Agriculture & Social Service,Agriculture,5,12th Pass,"Intermediate Board of Intermediate Education Govt Jr College Srungavarapukota 1987;             		 Details of PAN and status of Income Tax return",Agriculture & Social Service,Agriculture,"Agriculture , Rent on commercial Bsuiness","31,20,217","10,50,255","42,40,752","82,25,000","3,84,00,000","4,66,25,000","5,81,20,392","3,60,000","36,60,000","79,73,000",2 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 1 charges related to Danger or obstruction in public way or line of navigation (IPC Section-283)
235,Nelavala Subramanyam,39,Doctor,Social Worker,,Graduate Professional,"MBBS From Dr Y.S.R.University Of Health Sciences, Narayana Medical College, Nellore, Year-2022;             		 Details of PAN and status of Income Tax return",Doctor,Profession And Business,Business,"1,16,64,034","5,05,000","1,41,69,034","6,00,000","2,00,00,000","2,06,00,000","3,47,69,034","65,41,370",,"83,41,370",
409,Styanarayana Bolishetty,64,Business and Agriculture,House wife,4,12th Pass,"Passed Intermediate (Board of intermediate education, Andhra Pradesh in D R Govt Degree college pentapadu west godavari district in year 1976;             		 Details of PAN and status of Income Tax return",Business and Agriculture,"Transport and fish business, interest on deposits investments and agriculture",Not applicable,"17,40,96,852.84","7,08,950","17,52,31,731.84","6,04,53,963","2,32,05,000","8,53,43,963","24,53,21,556","19,25,04,002.72",,,"1 charges related to Punishment for criminal intimidation (IPC Section-506) 2 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 1 charges related to Punishment for wrongful Confinement (IPC Section-342) 1 charges related to Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment (IPC Section-109) 1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 1 charges related to Punishment for house-trespass (IPC Section-448) 1 charges related to Punishment for voluntarily causing hurt (IPC Section-323) 1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34)"
61,Johnness,62,"Pension as Ex- MLA, And PArtner In Sri Venkateshwara Gas Company",State Government Employee,8,Post Graduate,"M.Sc. (Marine Biology), Andhra University, Visakhapatnam-1985, M.A(Edn.) Andhra Unviversity, Visakhapatnam-1988. Bachelor Of Law, AC College Of Law, Guntur-2018;             		 Details of PAN and status of Income Tax retu","Pension as Ex- MLA, And PArtner In Sri Venkateshwara Gas Company",Business/ Professional & Other Income,State Government Employee & Other Income,"92,64,078","40,81,249","1,49,39,501.64","2,12,38,960","55,00,000","3,89,21,960","5,37,04,471",,"2,79,411","22,79,411",1 charges related to Attempt to murder (IPC Section-307)1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332)1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 7 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 6 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 5 charges related to Punishment for wrongful restraint (IPC Section-341) 5 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 4 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 3 charges related to Punishment for Rioting (IPC Section-147) 3 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 2 charges related to Punishment for wrongful Confinement (IPC Section
58,J.C. Prabhakar Reddy,43,Agricultural produce and Business,Agricultural produce and Business,28,Post Graduate,"M.Litt( Marketing) from University of St. Andrews, Scotland - UK in the year 2008;             		 Details of PAN and status of Income Tax return",Agricultural produce and Business,Agricultural produce and Business,Agricultural produce and business,"21,78,58,165","4,07,93,536","26,02,01,234","1,47,69,72,007","8,41,98,700","1,56,11,70,707","1,82,13,71,941","26,87,98,444","2,60,10,940","29,48,09,384","14 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420)13 charges related to Forgery of valuable security, will, etc. (IPC Section-467)6 charges related to Forgery for purpose of cheating (IPC Section-468)5 charges related to Punishment for criminal intimidation (IPC Section-506)3 charges related to Attempt to murder (IPC Section-307)2 charges related to Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 467 (IPC Section-472) 18 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 14 charges related to Using as genuine a forged document or electronic record (IPC Section-471) 9 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 7 charges related to Punishment of criminal conspiracy (IPC Section-120B) 5 charges related to Punishment for wrongful restraint (IPC Section-341) 3 charges related to Every member of unl"
2566,Chakradhara Rao,52,Business,IT Profession and Business,7,Post Graduate,"M.Sc. Computers, Nagarjuna University, 1997;             		 Details of PAN and status of Income Tax return",Business,"Business, Rental Income",IT Profession and Business,"4,22,80,548","6,23,10,701","10,45,91,249","14,49,12,700","4,03,83,200","18,52,95,900","28,98,87,149","1,12,98,454","13,28,832","1,26,27,286",3 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 2 charges related to Punishment for wrongful restraint (IPC Section-341) 2 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 2 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 1 charges related to Being member of unlawful assembly (IPC Section-142) 1 charges related to Punishment for voluntarily causing hurt (IPC Section-323) 1 charges related to Obstructing public servant in discharge of public functions (IPC Section-186) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353)
384,Late Sri Dalinaidu,57,MLA-APLA & Polictician & Farmer,Other Business (Invest in Firms),13,12th Pass,"Intermediate Year passed 1988, B.Sc Discontinued Year 1991, VS Krishna College Visakhapatna Andhra Pradesh 520001;             		 Details of PAN and status of Income Tax return",MLA-APLA & Polictician & Farmer,Salary from AP Govt,Income from Salary & Business,"1,32,05,511","4,68,17,746","6,60,21,435","2,31,48,500","6,13,56,000","10,51,59,500","17,11,90,758","42,90,153","3,36,50,000","3,79,40,153",
802,Nadenla Bhaskar Rao,62,"Consultation, Social Service",Doctor,,Post Graduate,"Master of Business Administration In 1985-87, Osmania University;             		 Details of PAN and status of Income Tax return","Consultation, Social Service","Bank Interest, Consultation","Profession, Bank Interest, Capital Gains","1,48,03,300","2,49,33,338","4,01,00,604","1,95,00,000","16,93,55,000","18,88,55,000","22,89,55,604","44,41,091","4,00,00,000","4,44,41,091",
44,P. Lakshmana Reddy,58,Salary Income & Agriculturalist,House wife,2,8th Pass,"9th Class from ZP High School Sodum;             		 Details of PAN and status of Income Tax return",Salary Income & Agriculturalist,"Salary from PLR Projects Pvt Ltd, Bank, Interest, Agricultural Income",NIL,"16,38,201","18,61,980","55,60,313","26,40,00,000","2,50,00,000","28,90,00,000","29,45,60,313","99,43,841",,"99,43,841","1 charges related to Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony (IPC Section-153A)1 charges related to Assault or criminal force to woman with intent to outrage her modesty (IPC Section-354)1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324)1 charges related to Punishment for criminal intimidation (IPC Section-506)1 charges related to Attempt to murder (IPC Section-307) 2 charges related to Punishment for Rioting (IPC Section-147) 2 charges related to Rioting, armed with deadly weapon (IPC Section-148) 2 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 1 charges related to Mischief causing damage to the amount of fifty rupees ("
449,Late Arani Krishnaiah,74,Member of Legislative Assembly & Business,House Wife & Business,,12th Pass,"Studied upto B.A. Degree (Not Completed) During the year 1970-74, PVKN Govt. Degree College, Chittoor, S.V University, Tirupati.;             		 Details of PAN and status of Income Tax return",Member of Legislative Assembly & Business,"Salary as Legislator in Andhra Pradesh Govt Bank Interest, Business Income",Business Income & Bank Interest,"19,33,09,914","2,18,90,587","21,52,00,501","56,58,89,876","4,83,62,724","61,42,52,600","82,94,53,101","58,34,000","24,32,000","82,66,000",
342,Kolikapudi Subba Rao,57,Self Employee,Govt. Employee,10,Post Graduate,"M.A English Literature from Andhra University, Andhra Pradesh in 1992-94;             		 Details of PAN and status of Income Tax return",Self Employee,Self Employee,Govt. Employee,"43,26,000","32,82,000","82,88,000","90,00,000",,"90,00,000","1,72,88,000","6,00,000","5,00,000","11,00,000","2 charges related to Illegal payments in connection with an election (IPC Section-171H)1 charges related to Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony (IPC Section-153A)1 charges related to Section 505(2) (IPC Section-505(2))1 charges related to Abetment of offence punishable with death or imprisonment for life (IPC Section-115)1 charges related to False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation (IPC Section-181)1 charges related to Punishment for criminal intimidation (IPC Section-506) 5 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 4 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 3 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 2 charges related to Punish"
254,Yanamala Ramakrishnudu,42,House wife,Central Government Servant as India Revenue Services (IRS),,Post Graduate,"MBA (Faculty of Management) Osmania University, 2012 BE in Electronic and Communication Osmania University, 2006;             		 Details of PAN and status of Income Tax return",House wife,"Rent, Interest from Bank Deposit & Agricultural Income",Indian Revenue service (IRS) Salary & Other Allowances,"1,09,53,744","1,91,76,920","3,01,30,664","6,09,16,650","60,00,000","6,69,16,650","9,38,97,450","3,00,000",,"3,00,000",
241,Kakarla Venkata Subbaiah Naidu,54,Software Consultant and entering into Politics,Software consultant,1,Graduate Professional,"Bachelor of Technology (B.Tech) from Nagarjuna University, Guntur. Year of course Completed:1993;             		 Details of PAN and status of Income Tax return",Software Consultant and entering into Politics,Software Consultant,Software Consultant,"4,45,58,761","5,19,26,424","9,64,85,185","10,85,17,844","7,40,00,000","18,25,17,844","27,90,03,029","3,28,82,000",,"3,28,82,000",1 charges related to Illegal payments in connection with an election (IPC Section-171H) 1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 1 charges related to Danger or obstruction in public way or line of navigation (IPC Section-283) 1 charges related to Punishment for wrongful restraint (IPC Section-341)
468,Late K V S Suryanarayana Raju,63,Member of Parliament,Business,19,Post Graduate,"Master of Pharmacutical Science (M Pharma) from Andhra University Visakhapatnam in March 1986;             		 Details of PAN and status of Income Tax return",Member of Parliament,Remuneration,Rental Income,"13,69,80,134","17,75,30,245","31,45,10,379","11,86,86,250","1,75,45,16,634","1,87,32,02,884","2,18,77,13,263","48,15,28,587","4,45,15,536","52,60,44,123",
402,Patsamatla Lakshmi Narayana Raju,45,Business,Business,,10th Pass,"10th Class (Secondary School Certificate)/ S J N P High School, Pedanindrakolanu & 1995;             		 Details of PAN and status of Income Tax return",Business,Fish farming Activity and Income share from partnership firm,Fish farming and Income share from partnership firm,"11,41,41,041","1,57,82,770","12,99,47,772","17,40,90,235","3,49,49,308","21,30,39,543","34,29,87,315","19,02,63,043","2,20,90,444","21,68,04,823",
14,Late P. Venkata Narayana,61,Member of Legislative Assembly,Housewife,1,Others,"Post Graduate Diploma in Management in T.A. PAI Management Institute, Manipal - 1987;             		 Details of PAN and status of Income Tax return",Member of Legislative Assembly,"Agriculture Income, Interest income & Salary as MLA","Agriculture  income, Share income from Partnership firm & interest income","3,21,86,538","8,37,96,661","12,57,16,645","1,75,50,000","4,06,00,000","23,30,22,000","35,87,38,645","3,35,69,636","5,35,80,001","8,71,49,637",1 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188)
296,Nagendram,60,Advocate,Secondary Grade Teacher,10,Graduate Professional,"Bachelor Law from Andhra University, Waltair, Andhra University, Waltair, 1995;             		 Details of PAN and status of Income Tax return",Advocate,"Legal Advice, Lease and MLA Pension",Teacher Salary,"77,74,739","43,04,278","1,28,62,554","1,23,32,000","1,65,64,000","3,45,74,000","4,74,36,554",,,"20,13,543",1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324)1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332)1 charges related to Punishment for criminal intimidation (IPC Section-506) 6 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 5 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 5 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 5 charges related to Punishment for wrongful restraint (IPC Section-341) 5 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 4 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 4 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 3 charges 
2365,Late Rama Naidu,64,"Engaged in Politics , Transport and Logistics Business",Transport and Warehouse Business,12,5th Pass,"5th Class at Elementary School, Pathanalapadu Village, Dakkili Mandal, Tirupati District, Andhra Pradesh, Year- (1967-72);             		 Details of PAN and status of Income Tax return","Engaged in Politics , Transport and Logistics Business","Ex.MLA Pension , Transport and Warehouse Rentals",Transport and Warehouse Rentals,"20,00,12,517.04","1,73,37,475","21,73,49,992.04","71,73,00,000","15,45,00,000","87,18,00,000","1,08,91,49,993","14,50,14,000",,"14,50,14,000","2 charges related to Punishment for criminal intimidation (IPC Section-506)1 charges related to Mischief by injury to public road, bridge, river or channel (IPC Section-431)1 charges related to Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony (IPC Section-153A)1 charges related to Attempt to murder (IPC Section-307)1 charges related to Voluntarily throwing or attempting to throw acid. (IPC Section-326B)1 charges related to Undue influence at elections (IPC Section-171C)1 charges related to Illegal payments in connection with an election (IPC Section-171H) 8 charges related to Punishment for wrongful restraint (IPC Section-341) 7 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 6 charges related to Disobedience to quarantine rule (IPC Section-271) 6 charges related to Negligent act likely "
116,Late Kanaka Rao,60,Business,Business,14,8th Pass,"IX Class BSRK Municipal School, Vijayawada - 1980;             		 Details of PAN and status of Income Tax return",Business,"Business Income, Property Income and MLA Pention",Business and Property Income,"30,78,85,095","6,48,44,188","37,31,21,588","30,53,84,851","25,38,84,390","57,49,61,819","94,80,83,407","21,91,94,592","5,66,93,012","31,18,36,870","2 charges related to Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony (IPC Section-153A)2 charges related to Punishment for criminal intimidation (IPC Section-506)2 charges related to Illegal payments in connection with an election (IPC Section-171H)1 charges related to Section 505(2) (IPC Section-505(2))1 charges related to Statements conducing to public mischief (IPC Section-505) 8 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 6 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 5 charges related to Punishment for wrongful restraint (IPC Section-341) 4 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 3 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 3 charges related "
88,Subbaih,69,Business,Business,8,Post Graduate,"M.Sc. Microbiology from Darwar University, Karnataka, Year 1978 ;             		 Details of PAN and status of Income Tax return",Business,Business,Business,"1,49,03,774.63","1,68,62,778.03","3,17,66,552.66","3,97,48,000","9,57,65,500","13,55,13,500","16,72,80,052",,"1,08,59,701.59",,1 charges related to Punishment for criminal intimidation (IPC Section-506)1 charges related to Illegal payments in connection with an election (IPC Section-171H) 4 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 3 charges related to Punishment for wrongful restraint (IPC Section-341) 3 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 2 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 2 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 2 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 1 charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270) 1 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 1 charges related
15,Late Y Janardhana Rao,64,Technocrat Social services and Politician,House Maker,4,Post Graduate,"Master of Engineering (Specialization in Machine Tool Engineering) PSG College of Technology, Bharathiar University, Coimbatore, Year of Completion 1986;             		 Details of PAN and status of Income Tax return",Technocrat Social services and Politician,"Pension from Government of India, Remuneration from services",Rental Income,"1,18,49,340","14,09,27,677","15,27,77,017","34,25,500","6,89,16,428","7,23,41,928","22,51,18,945","2,40,022",,"2,40,022",1 charges related to Punishment for bribery (IPC Section-171E) 3 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 2 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 2 charges related to Punishment for public nuisance in cases not otherwise provided for (IPC Section-290) 2 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 1 charges related to Negligent conduct with respect to explosive substance (IPC Section-286) 1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 1 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 1 charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270) 1 charges related to Diso
64,Late G.Satyanarayana,60,Business,Business,18,Graduate,"B.Sc., from J.K.C College, Guntur, Acharya Nagarjuna University in the Year 1987;             		 Details of PAN and status of Income Tax return",Business,"Business, Rental and Agriculture",Remuneration and Agriculture,"44,63,52,883","6,35,66,250","50,99,19,133","1,10,51,22,026","8,55,86,390","1,19,07,08,416","1,70,06,27,251","26,33,25,344","3,65,29,845","29,98,55,189",1 charges related to Punishment for theft (IPC Section-379)1 charges related to Punishment for criminal intimidation (IPC Section-506) 14 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 13 charges related to Punishment for wrongful restraint (IPC Section-341) 12 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 7 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 5 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 4 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 3 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 1 charges related to Punishment for Rioting (IPC Section-147) 1 charges related to Punishment for criminal trespass (IPC Section-447) 1 charge
114,Brahmeswara  Rao,66,Public Service,HouseWife,4,Graduate,"B.Sc. (Ag) Degree from Gorakhpur University - 1981;             		 Details of PAN and status of Income Tax return",Public Service,"Salary from  AP Legislative Assembly, Rental Incom from House Property",Rental Incom from House Property & interest income,"2,89,50,152","1,07,01,300","3,96,51,452","13,70,40,240","6,40,06,260","20,10,46,500","24,06,97,952","1,42,80,000","1,02,87,653","2,45,67,653","1 charges related to Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony (IPC Section-153A) 3 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 1 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 1 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34)"
2684,Late Satyanarayana Raju,64,Business,Employment,1,Graduate Professional,"B.E. (Civil) From Andhra University Year 1983;             		 Details of PAN and status of Income Tax return",Business,"Salary Income, Agricultural income , and Income from other sources","Salary Income, Agricultural Income and Income from other sources","2,90,15,028","1,49,67,657","4,39,82,685","91,69,04,950","10,14,48,200","1,01,83,53,150","1,06,23,35,835","5,72,91,808","1,67,12,940","7,40,04,748",1 charges related to Wearing grab or carrying token used by public servant with fraudulent intent (IPC Section-171) 1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 1 charges related to Punishment for wrongful restraint (IPC Section-341)
2262,Late Shri Chennuboina Kondaiah,52,Business,Business,8,Post Graduate,"Master Of Arts (Politics) From Andhra University, Completed In The Year 2017;             		 Details of PAN and status of Income Tax return",Business,Business,Business,"7,41,04,297","32,435","7,59,95,217","4,73,95,450",,"5,91,57,450","13,51,52,668","2,01,20,619",,"2,11,71,019",1 charges related to Statements conducing to public mischief (IPC Section-505) 1 charges related to Punishment for Defamation (IPC Section-500)
469,Late shi Appala Narasimham Pethakamsetti,56,Business,House Wife,,Graduate,"Bachelor of Commerce, Mrs. A.V.N College Andhra University 1990;             		 Details of PAN and status of Income Tax return",Business,Rent from let out property Interest Captial Gains & remuneration as MLA,Interest from Savings Account,"60,39,854","42,14,045","1,05,14,941","35,41,00,000","1,05,00,000","38,62,00,000","39,67,14,941","12,67,35,370",,"12,67,35,370",
470,Pusapati Ashok Gajapathi Raju,43,Home Maker,NA,2,Post Graduate,"MA (Psychology), Andhra University, Vishakhapatnam 2013;             		 Details of PAN and status of Income Tax return",Home Maker,Rents and FDRs interest,NA,"4,95,04,788.36",,"60,55,60,284.38","5,30,73,450",,"17,13,78,801","77,69,39,075",,,,1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332) 1 charges related to Negligent conduct with respect to fire or combustible matter (IPC Section-285) 1 charges related to Danger or obstruction in public way or line of navigation (IPC Section-283) 1 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34)
211,Sundarapu Satyanarayana,46,Business,House Wife,8,Others,"Diploma In Electronics & Communication Engineering (DECE) From T.G.L.G. Polytechnic, Adoni, 1995-1998;             		 Details of PAN and status of Income Tax return",Business,"Profits From Business, Interest On Savings Bank",Interest On Savings Bank,"3,98,81,820","53,72,931","4,93,88,988.52","2,40,30,000",,"2,40,30,000","7,34,18,989","1,89,34,612",,"1,89,34,612","2 charges related to Attempt to murder (IPC Section-307)2 charges related to Punishment for criminal intimidation (IPC Section-506)2 charges related to Punishment for criminal breach of trust (IPC Section-406)1 charges related to Forgery for purpose of cheating (IPC Section-468)1 charges related to Forgery of valuable security, will, etc. (IPC Section-467)1 charges related to Criminal breach of trust by clerk or servant (IPC Section-408)1 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420)1 charges related to Punishment for voluntarily causing grievous hurt (IPC Section-325)1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324)1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332) 4 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 3 charges related to Assault or criminal force to deter public servant from discha"
163,Late B.V. Mohan Reddy,49,Doctor,Doctor,5,Graduate Professional,"Bachelor of Medicine and Bachelor of Surgery (MBBS) Deccan College of Medical Science (Owaisi) Hyderabad from NTR Health University, Vijayawada In 2004;             		 Details of PAN and status of Income Tax retur",Doctor,Income From Profession  & Agriculture,Income From Profession,"1,43,12,166","42,84,801.96","1,85,96,967.96","3,85,53,636","75,00,000","4,60,53,636","6,46,50,653","77,82,184","76,34,568","1,54,16,752","1 charges related to Punishment for criminal intimidation (IPC Section-506)1 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420)1 charges related to Punishment for false evidence (IPC Section-193)1 charges related to Giving or fabricating false evidence with intent to procure conviction of capital offence (IPC Section-194)1 charges related to Forgery of valuable security, will, etc. (IPC Section-467)1 charges related to Forgery for purpose of cheating (IPC Section-468) 1 charges related to Furnishing false information (IPC Section-177) 1 charges related to Defamation (IPC Section-499) 1 charges related to Punishment for Defamation (IPC Section-500) 1 charges related to Definition of criminal conspiracy (IPC Section-120A) 1 charges related to Punishment for cheating (IPC Section-417) 1 charges related to Punishment of criminal conspiracy (IPC Section-120B)"
162,Hussain,46,Construction Business and Polities,House Wife,3,Graduate Professional,"(BE civil), MUFFAKHAM JAH College of Engineering and Technology, Banjara Hills, Hyderabad, 1999-2000;             		 Details of PAN and status of Income Tax return",Construction Business and Polities,Construction Business and Rents,Rents,"95,28,027.69","35,35,554.98","2,80,63,582.67","7,73,19,750","59,00,000","8,32,19,750","9,77,69,833","4,07,49,004",,"4,07,49,004",2 charges related to Illegal payments in connection with an election (IPC Section-171H)2 charges related to Punishment for undue influence or personation at an election (IPC Section-171F)
