S.No,MP Code,Member Name,Party,State,Position No.,Period,Position Held
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,8,Aug. 2024 and Sept. 2025 onwards,"Member, Committee on Welfare of Other Backward Classes"
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,9,Jan. 2023 - Aug. 2024,"Member, Committee on Members of Parliament Local Area Development Scheme"
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,10,Dec. 2022 - March 2023,"Member, Joint Committee on the Jan Vishwas (Amendment of Provisions) BIll, 2022"
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,11,Dec. 2022 - June 2024,"Member, Joint Committee on Offices of Profit"
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,12,,"Member, Consultative Committee for the Ministry of Commerce and Industry"
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,13,Sept. 2022 - June 2024,"Member, Committee on Agriculture, Animal Husbandry and Food Processing"
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,14,June 2022,Elected to Rajya Sabha (resigned w.e.f. 29 August 2024)
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,15,2014 - 2019,"Advisory Member, Andhra Pradesh Capital Region Development Authority (AP CRDA)"
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,16,,"Chairman, Standing Committee on Labour, Factories, Employment and Training, Tourism and Information Technology, Andhra Pradesh Legislative Assembly"
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,17,,"Member, Committee on Welfare of Backward Classes, Andhra Pradesh Legislative Assembly"
4,2527,Shri Masthan Rao Yadav Beedha,Telugu Desam Party,Andhra Pradesh,18,2009 -2014,"Member, Andhra Pradesh Legislative Assembly"
5,2528,Shri Ryaga Krishnaiah,Bharatiya Janata Party,Andhra Pradesh,1,Feb. 2026 onwards,"Member, India - Mauritius Parliamentary Friendship Group"
5,2528,Shri Ryaga Krishnaiah,Bharatiya Janata Party,Andhra Pradesh,2,Jan. 2025 onwards,"Member, Committee on Consumer Affairs, Food and Public Distribution"
5,2528,Shri Ryaga Krishnaiah,Bharatiya Janata Party,Andhra Pradesh,3,Dec.2024,Elected to Rajya Sabha (second term)
5,2528,Shri Ryaga Krishnaiah,Bharatiya Janata Party,Andhra Pradesh,4,,"Member, Consultative Committee for the Ministry of Social Justice and Empowerment"
5,2528,Shri Ryaga Krishnaiah,Bharatiya Janata Party,Andhra Pradesh,5,Sept. 2022 - June 2024,"Member, Committee on Finance"
5,2528,Shri Ryaga Krishnaiah,Bharatiya Janata Party,Andhra Pradesh,6,June 2022,Elected to Rajya Sabha (resigned w.e.f. 23 September 2024)
5,2528,Shri Ryaga Krishnaiah,Bharatiya Janata Party,Andhra Pradesh,7,2014-2018,"Member, Andhra Pradesh Legislative Assembly"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1,Feb. 2026 onwards,"Member, India - South Korea Parliamentary Friendship Group"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2,Nov. 2022 - Dec. 2024,"Member, Committee on Rules"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,3,February 2021 onwards,"Member, District Level Committee of Andhra Pradesh for the District of Chittoor for the implementation of Prime Minister's 15 Point Programme for the Welfare of Minorities"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,4,May 2021 onwards,"Member, Joint Hindi Salahakar Samiti (Advisory Committee) for the Department of Space and Department of Atomic Energy"
